//time estimation lower_bound upper_bound expectation
0 0.010101 nan nan 0.010101
0.0803213 0.0100191 0.0100134 0.0100247 0.0100202
0.160643 0.00993884 0.00993096 0.00994671 0.00994004
0.240964 0.00986227 0.00985283 0.00987172 0.00986052
0.321285 0.00978593 0.00977518 0.00979668 0.00978164
0.401606 0.00970875 0.00969693 0.00972057 0.00970338
0.481928 0.00963013 0.00961745 0.00964281 0.00962576
0.562249 0.00955338 0.00953952 0.00956724 0.00954875
0.64257 0.00947749 0.00946278 0.0094922 0.00947236
0.722892 0.00940465 0.0093894 0.00941989 0.00939658
0.803213 0.00932744 0.00931167 0.00934321 0.00932141
0.883534 0.00925529 0.009239 0.00927158 0.00924684
0.963855 0.00918162 0.00916479 0.00919846 0.00917287
1.04418 0.00910547 0.00908807 0.00912287 0.00909948
1.1245 0.00902897 0.00901102 0.00904693 0.00902669
1.20482 0.00895542 0.00893719 0.00897366 0.00895448
1.28514 0.00888046 0.00886182 0.0088991 0.00888284
1.36546 0.00880575 0.00878663 0.00882488 0.00881178
1.44578 0.00874187 0.00872253 0.00876121 0.00874128
1.5261 0.00867229 0.00865278 0.00869179 0.00867135
1.60643 0.00859903 0.00857931 0.00861875 0.00860198
1.68675 0.00852886 0.00850875 0.00854897 0.00853317
1.76707 0.00846106 0.00844063 0.0084815 0.0084649
1.84739 0.00839205 0.00837097 0.00841312 0.00839718
1.92771 0.00832456 0.00830313 0.00834598 0.00833001
2.00803 0.00826041 0.00823833 0.00828248 0.00826337
2.08835 0.00819487 0.00817261 0.00821713 0.00819726
2.16867 0.00812853 0.00810609 0.00815097 0.00813168
2.249 0.00806394 0.00804133 0.00808656 0.00806663
2.32932 0.00799867 0.00797597 0.00802138 0.0080021
2.40964 0.00793619 0.0079133 0.00795908 0.00793808
2.48996 0.00786982 0.00784688 0.00789276 0.00787458
2.57028 0.00780669 0.00778356 0.00782982 0.00781158
2.6506 0.00774287 0.00771954 0.00776619 0.00774909
2.73092 0.00768095 0.00765757 0.00770433 0.0076871
2.81124 0.00762058 0.00759701 0.00764416 0.0076256
2.89157 0.00755828 0.00753485 0.00758172 0.00756459
2.97189 0.00749787 0.00747426 0.00752149 0.00750408
3.05221 0.00743831 0.00741459 0.00746202 0.00744405
3.13253 0.00738081 0.00735682 0.0074048 0.00738449
3.21285 0.0073223 0.00729822 0.00734639 0.00732542
3.29317 0.00726464 0.0072405 0.00728878 0.00726682
3.37349 0.00720649 0.00718246 0.00723053 0.00720868
3.45382 0.00714922 0.00712531 0.00717314 0.00715101
3.53414 0.00709221 0.00706831 0.00711611 0.0070938
3.61446 0.00703587 0.00701198 0.00705977 0.00703705
3.69478 0.00698136 0.00695757 0.00700516 0.00698076
3.7751 0.00692461 0.00690073 0.00694849 0.00692491
3.85542 0.00687013 0.00684621 0.00689405 0.00686951
3.93574 0.00681416 0.00679025 0.00683806 0.00681456
4.01606 0.00676004 0.00673609 0.00678399 0.00676004
4.09639 0.00670844 0.00668454 0.00673233 0.00670596
4.17671 0.00665717 0.0066332 0.00668113 0.00665231
4.25703 0.00660481 0.00658099 0.00662863 0.0065991
4.33735 0.00655128 0.00652747 0.00657509 0.0065463
4.41767 0.00649776 0.00647391 0.00652161 0.00649393
4.49799 0.00644362 0.00641991 0.00646732 0.00644198
4.57831 0.00639283 0.00636898 0.00641669 0.00639045
4.65863 0.00634317 0.00631948 0.00636685 0.00633932
4.73896 0.00629224 0.00626857 0.00631591 0.00628861
4.81928 0.00624043 0.0062168 0.00626406 0.0062383
4.8996 0.00618691 0.00616341 0.00621042 0.00618839
4.97992 0.0061377 0.00611447 0.00616093 0.00613889
5.06024 0.00608765 0.00606424 0.00611105 0.00608978
5.14056 0.00604022 0.00601692 0.00606352 0.00604106
5.22088 0.00599046 0.00596723 0.00601369 0.00599273
5.3012 0.00594372 0.0059205 0.00596693 0.00594479
5.38153 0.00589459 0.00587142 0.00591776 0.00589723
5.46185 0.00584848 0.00582529 0.00587167 0.00585005
5.54217 0.00580041 0.00577732 0.00582349 0.00580325
5.62249 0.00575498 0.00573191 0.00577805 0.00575683
5.70281 0.00570753 0.00568442 0.00573065 0.00571077
5.78313 0.00565945 0.0056364 0.00568251 0.00566509
5.86345 0.00561445 0.00559141 0.00563748 0.00561977
5.94378 0.00556961 0.00554659 0.00559262 0.00557481
6.0241 0.00552556 0.00550259 0.00554852 0.00553021
6.10442 0.00548094 0.00545805 0.00550384 0.00548597
6.18474 0.00543826 0.00541539 0.00546113 0.00544208
6.26506 0.00539235 0.00536966 0.00541504 0.00539854
6.34538 0.00534889 0.00532627 0.0053715 0.00535536
6.4257 0.0053051 0.00528256 0.00532763 0.00531251
6.50602 0.00526312 0.00524059 0.00528565 0.00527001
6.58635 0.0052222 0.00519963 0.00524478 0.00522785
6.66667 0.00518149 0.0051591 0.00520389 0.00518603
6.74699 0.00513924 0.00511703 0.00516146 0.00514454
6.82731 0.00509823 0.00507613 0.00512033 0.00510339
6.90763 0.00505914 0.00503707 0.0050812 0.00506256
6.98795 0.00501839 0.00499636 0.00504042 0.00502206
7.06827 0.00497784 0.00495594 0.00499975 0.00498188
7.14859 0.00493795 0.00491613 0.00495977 0.00494203
7.22892 0.00489753 0.00487561 0.00491944 0.00490249
7.30924 0.00485984 0.00483797 0.00488171 0.00486327
7.38956 0.00482097 0.00479912 0.00484282 0.00482437
7.46988 0.00478227 0.00476046 0.00480408 0.00478577
7.5502 0.00474241 0.00472075 0.00476406 0.00474749
7.63052 0.00470469 0.00468314 0.00472625 0.00470951
7.71084 0.00466666 0.00464524 0.00468809 0.00467183
7.79116 0.00462895 0.00460764 0.00465026 0.00463446
7.87149 0.00459319 0.00457195 0.00461443 0.00459738
7.95181 0.00455583 0.00453475 0.00457691 0.0045606
8.03213 0.00451919 0.00449821 0.00454018 0.00452412
8.11245 0.00448378 0.00446288 0.00450468 0.00448792
8.19277 0.00444722 0.00442635 0.0044681 0.00445202
8.27309 0.00441216 0.00439134 0.00443299 0.00441641
8.35341 0.0043769 0.00435621 0.0043976 0.00438107
8.43373 0.00434154 0.00432091 0.00436216 0.00434603
8.51406 0.00430754 0.00428704 0.00432804 0.00431126
8.59438 0.00427369 0.00425328 0.0042941 0.00427677
8.6747 0.00423804 0.0042178 0.00425828 0.00424255
8.75502 0.00420307 0.00418297 0.00422316 0.00420861
8.83534 0.00416798 0.00414807 0.0041879 0.00417495
8.91566 0.00413425 0.00411439 0.00415411 0.00414155
