//tau lambda mean lower_bound upper_bound
0.01 1.179 0.989961 0.986405 0.993517
0.0100925 1.186 0.989712 0.986078 0.993345
0.0101859 1.144 0.991791 0.988468 0.995113
0.0102802 1.175 0.985941 0.981692 0.99019
0.0103753 1.158 0.991312 0.988049 0.994576
0.0104713 1.163 0.991625 0.988463 0.994788
0.0105682 1.175 0.993086 0.990269 0.995903
0.010666 1.187 0.991298 0.988065 0.994531
0.0107647 1.18 0.986162 0.981981 0.990343
0.0108643 1.175 0.986741 0.982478 0.991005
0.0109648 1.188 0.987642 0.983661 0.991624
0.0110662 1.169 0.992187 0.989155 0.99522
0.0111686 1.19 0.989939 0.986389 0.993488
0.011272 1.184 0.99231 0.989247 0.995372
0.0113763 1.19 0.987883 0.984216 0.991549
0.0114815 1.184 0.987397 0.983349 0.991446
0.0115878 1.197 0.987455 0.983567 0.991342
0.011695 1.179 0.988958 0.985226 0.99269
0.0118032 1.19 0.989547 0.986194 0.992899
0.0119124 1.208 0.985277 0.980722 0.989832
0.0120226 1.195 0.987208 0.983371 0.991046
0.0121339 1.199 0.985747 0.981231 0.990263
0.0122462 1.222 0.984185 0.979455 0.988914
0.0123595 1.197 0.98502 0.980715 0.989325
0.0124738 1.195 0.986929 0.982881 0.990978
0.0125893 1.212 0.987427 0.983429 0.991424
0.0127057 1.235 0.985633 0.98139 0.989876
0.0128233 1.188 0.988265 0.984472 0.992058
0.012942 1.214 0.989812 0.986332 0.993292
0.0130617 1.219 0.985194 0.980911 0.989478
0.0131826 1.2 0.989812 0.986179 0.993445
0.0133045 1.217 0.983854 0.979239 0.98847
0.0134276 1.201 0.987093 0.98291 0.991277
0.0135519 1.213 0.985394 0.981039 0.98975
0.0136773 1.247 0.983955 0.979439 0.988472
0.0138038 1.21 0.98845 0.984874 0.992026
0.0139316 1.212 0.987999 0.984164 0.991833
0.0140605 1.239 0.987825 0.983899 0.99175
0.0141906 1.213 0.988291 0.984415 0.992167
0.0143219 1.224 0.988191 0.984439 0.991944
0.0144544 1.249 0.984092 0.979458 0.988726
0.0145881 1.264 0.983042 0.978422 0.987662
0.0147231 1.238 0.984127 0.979536 0.988719
0.0148594 1.251 0.984078 0.979593 0.988563
0.0149968 1.22 0.990025 0.986785 0.993264
0.0151356 1.23 0.986528 0.982394 0.990662
0.0152757 1.241 0.985074 0.980787 0.989361
0.015417 1.246 0.986242 0.982148 0.990337
0.0155597 1.247 0.986608 0.982396 0.990819
0.0157036 1.268 0.983258 0.978764 0.987753
0.0158489 1.266 0.985046 0.980777 0.989315
0.0159956 1.26 0.985149 0.980913 0.989385
0.0161436 1.265 0.983614 0.97914 0.988087
0.016293 1.271 0.983704 0.979258 0.98815
0.0164437 1.264 0.982972 0.978298 0.987647
0.0165959 1.285 0.984516 0.980244 0.988787
0.0167494 1.284 0.982563 0.978008 0.987117
0.0169044 1.265 0.982781 0.978133 0.98743
0.0170608 1.284 0.980177 0.975072 0.985282
0.0172187 1.262 0.986044 0.981946 0.990143
0.017378 1.278 0.983904 0.979471 0.988336
0.0175388 1.273 0.98468 0.9803 0.989059
0.0177011 1.292 0.985137 0.980954 0.989319
0.0178649 1.303 0.980776 0.975844 0.985708
0.0180302 1.3 0.976948 0.97148 0.982416
0.018197 1.295 0.981027 0.976085 0.985969
0.0183654 1.323 0.978359 0.973134 0.983584
0.0185353 1.321 0.979384 0.974315 0.984453
0.0187068 1.311 0.981579 0.976694 0.986463
0.0188799 1.3 0.977964 0.972548 0.983379
0.0190546 1.31 0.980808 0.975887 0.98573
0.0192309 1.308 0.978675 0.973537 0.983812
0.0194089 1.326 0.980042 0.974864 0.985221
0.0195884 1.339 0.979024 0.973845 0.984204
0.0197697 1.319 0.97664 0.971273 0.982008
0.0199526 1.302 0.982321 0.977892 0.986751
0.0201372 1.336 0.979307 0.974174 0.98444
0.0203236 1.297 0.984887 0.98075 0.989023
0.0205116 1.323 0.980651 0.975691 0.98561
0.0207014 1.338 0.977316 0.971984 0.982648
0.020893 1.332 0.981405 0.976696 0.986113
0.0210863 1.321 0.985007 0.98074 0.989275
0.0212814 1.324 0.980309 0.975435 0.985184
0.0214783 1.373 0.977595 0.972328 0.982861
0.021677 1.374 0.975715 0.970067 0.981363
0.0218776 1.377 0.979492 0.97455 0.984434
0.02208 1.375 0.979262 0.974347 0.984178
0.0222844 1.356 0.97922 0.974081 0.984358
0.0224905 1.374 0.983191 0.978634 0.987748
0.0226986 1.345 0.977636 0.972376 0.982897
0.0229087 1.372 0.981109 0.976329 0.985888
0.0231206 1.347 0.977663 0.972409 0.982917
0.0233346 1.354 0.973924 0.968072 0.979775
0.0235505 1.377 0.973444 0.967672 0.979217
0.0237684 1.356 0.978607 0.973448 0.983767
0.0239883 1.366 0.977281 0.972218 0.982344
0.0242103 1.369 0.978561 0.973352 0.983771
0.0244343 1.35 0.978716 0.973575 0.983858
0.0246604 1.368 0.974405 0.968481 0.980329
0.0248886 1.376 0.977564 0.972362 0.982765
0.0251189 1.411 0.976262 0.971014 0.981511
0.0253513 1.395 0.975954 0.970397 0.98151
0.0255859 1.389 0.981437 0.976769 0.986105
0.0258226 1.379 0.976175 0.970628 0.981722
0.0260615 1.457 0.974425 0.968818 0.980032
0.0263027 1.401 0.977047 0.971822 0.982271
0.0265461 1.428 0.974272 0.968563 0.979981
0.0267917 1.419 0.978513 0.973574 0.983453
0.0270396 1.44 0.972101 0.966063 0.978139
0.0272898 1.413 0.97301 0.9671 0.97892
0.0275423 1.425 0.97618 0.97069 0.981671
0.0277971 1.459 0.972761 0.96705 0.978472
0.0280543 1.476 0.972769 0.967074 0.978465
0.0283139 1.43 0.974604 0.969034 0.980173
0.0285759 1.468 0.97518 0.969739 0.980622
0.0288403 1.436 0.973472 0.967854 0.979091
0.0291072 1.5 0.969806 0.963927 0.975685
0.0293765 1.467 0.972338 0.966468 0.978209
0.0296483 1.462 0.96969 0.963686 0.975693
0.0299226 1.457 0.971665 0.965504 0.977827
0.0301995 1.489 0.978119 0.973309 0.982928
0.0304789 1.535 0.971428 0.965871 0.976984
0.030761 1.464 0.973698 0.968059 0.979337
0.0310456 1.52 0.973408 0.968041 0.978775
0.0313329 1.511 0.972039 0.966132 0.977945
0.0316228 1.51 0.968394 0.962296 0.974493
0.0319154 1.525 0.965633 0.959135 0.972131
0.0322107 1.529 0.968759 0.962738 0.97478
0.0325087 1.513 0.968675 0.962492 0.974858
0.0328095 1.494 0.969785 0.963809 0.975762
0.0331131 1.56 0.968241 0.962173 0.974308
0.0334195 1.54 0.968268 0.962179 0.974358
0.0337287 1.591 0.964368 0.957992 0.970745
0.0340408 1.49 0.967181 0.961024 0.973338
0.0343558 1.561 0.960757 0.953627 0.967887
0.0346737 1.57 0.97295 0.967385 0.978515
0.0349945 1.596 0.968657 0.962486 0.974828
0.0353183 1.592 0.96399 0.957316 0.970664
0.0356451 1.521 0.972363 0.966506 0.978221
0.0359749 1.598 0.960974 0.954131 0.967817
0.0363078 1.548 0.966408 0.960195 0.97262
0.0366438 1.594 0.965729 0.959576 0.971882
0.0369828 1.575 0.962426 0.955743 0.96911
0.037325 1.609 0.962713 0.955974 0.969452
0.0376704 1.624 0.96353 0.956798 0.970262
0.0380189 1.583 0.965102 0.958522 0.971681
0.0383707 1.646 0.963731 0.95728 0.970182
0.0387258 1.649 0.955508 0.948097 0.96292
0.0390841 1.614 0.959435 0.952232 0.966637
0.0394457 1.591 0.964037 0.957409 0.970665
0.0398107 1.659 0.965621 0.959442 0.9718
0.0401791 1.611 0.963058 0.95652 0.969596
0.0405509 1.636 0.960978 0.954278 0.967678
0.0409261 1.68 0.963687 0.957258 0.970115
0.0413048 1.66 0.948857 0.941005 0.95671
0.0416869 1.677 0.958741 0.951822 0.965659
0.0420727 1.651 0.958696 0.951545 0.965847
0.042462 1.671 0.956873 0.949581 0.964165
0.0428549 1.692 0.957053 0.949933 0.964172
0.0432514 1.711 0.957824 0.950673 0.964975
0.0436516 1.664 0.954315 0.94688 0.96175
0.0440555 1.724 0.959412 0.952447 0.966377
0.0444631 1.687 0.954222 0.94695 0.961495
0.0448745 1.735 0.949679 0.941679 0.957678
0.0452898 1.669 0.96055 0.95367 0.96743
0.0457088 1.751 0.951296 0.943682 0.95891
0.0461318 1.739 0.958874 0.952038 0.965711
0.0465586 1.75 0.95014 0.942191 0.958088
0.0469894 1.713 0.95799 0.950963 0.965016
0.0474242 1.679 0.955653 0.94845 0.962855
0.047863 1.79 0.948543 0.940581 0.956504
0.0483059 1.781 0.948985 0.941133 0.956838
0.0487528 1.818 0.952245 0.944919 0.959572
0.049204 1.754 0.951449 0.943981 0.958917
0.0496592 1.793 0.949206 0.941603 0.95681
0.0501187 1.81 0.948737 0.941019 0.956454
0.0505825 1.794 0.951564 0.944019 0.959109
0.0510505 1.844 0.943905 0.935898 0.951911
0.0515229 1.821 0.95396 0.946597 0.961322
0.0519996 1.83 0.945828 0.938015 0.953642
0.0524807 1.839 0.942396 0.933928 0.950864
0.0529663 1.851 0.952103 0.944881 0.959325
0.0534564 1.84 0.950514 0.9429 0.958128
0.0539511 1.819 0.949344 0.941584 0.957104
0.0544503 1.854 0.956485 0.949396 0.963574
0.0549541 1.897 0.942699 0.934439 0.950959
0.0554626 1.831 0.945544 0.937527 0.953562
0.0559758 1.852 0.952337 0.944908 0.959767
0.0564937 1.885 0.948574 0.940952 0.956197
0.0570164 1.869 0.94594 0.937738 0.954142
0.057544 1.884 0.941543 0.9332 0.949886
0.0580764 1.93 0.941166 0.93291 0.949422
0.0586138 1.89 0.953753 0.946626 0.960879
0.0591562 1.883 0.944276 0.936133 0.95242
0.0597035 1.96 0.945303 0.937238 0.953369
0.060256 1.919 0.938875 0.930635 0.947115
0.0608135 1.965 0.940204 0.931935 0.948472
0.0613762 1.99 0.933523 0.924657 0.942389
0.0619441 1.991 0.934691 0.925858 0.943525
0.0625173 1.942 0.945996 0.938235 0.953757
0.0630957 1.982 0.938417 0.929878 0.946956
0.0636796 1.993 0.936605 0.928137 0.945073
0.0642688 2.035 0.93794 0.92957 0.94631
0.0648634 2.005 0.943117 0.935285 0.95095
0.0654636 2.018 0.937608 0.929051 0.946164
0.0660693 2.049 0.935201 0.926824 0.943578
0.0666807 2.038 0.92801 0.918716 0.937305
0.0672977 2.065 0.92702 0.918013 0.936027
0.0679204 2.119 0.931752 0.922786 0.940718
0.0685488 2.022 0.937514 0.928935 0.946093
0.0691831 2.113 0.93641 0.927928 0.944891
0.0698232 2.137 0.930171 0.921173 0.939169
0.0704693 2.068 0.933544 0.924737 0.94235
0.0711214 2.126 0.926886 0.917919 0.935853
0.0717794 2.119 0.933862 0.925384 0.942339
0.0724436 2.129 0.933862 0.925364 0.942361
0.0731139 2.15 0.925019 0.915821 0.934216
0.0737904 2.167 0.92203 0.912684 0.931377
0.0744732 2.161 0.930246 0.921305 0.939187
