//total_population estimated_relatedness lower_bound upper_bound relatedness
100 0.494949 nan nan 0.494949
102 0.495148 0.495146 0.49515 0.495148
104 0.49534 0.495336 0.495345 0.495338
106 0.495525 0.495518 0.495532 0.495521
108 0.495704 0.495694 0.495713 0.495697
110 0.495875 0.495863 0.495887 0.495867
112 0.496044 0.49603 0.496059 0.496031
114 0.496202 0.496185 0.496218 0.496189
116 0.496357 0.496339 0.496376 0.496341
118 0.496508 0.496487 0.496529 0.496488
120 0.496653 0.49663 0.496675 0.49663
122 0.496788 0.496764 0.496813 0.496768
124 0.49692 0.496894 0.496947 0.496901
126 0.497042 0.497014 0.49707 0.49703
128 0.497174 0.497144 0.497204 0.497154
130 0.497288 0.497257 0.49732 0.497275
132 0.497406 0.497373 0.497439 0.497392
134 0.497525 0.49749 0.49756 0.497506
136 0.497626 0.49759 0.497662 0.497616
138 0.497739 0.497701 0.497776 0.497723
140 0.497855 0.497816 0.497895 0.497827
142 0.497961 0.49792 0.498002 0.497929
144 0.498064 0.498022 0.498107 0.498027
146 0.498157 0.498113 0.498201 0.498122
148 0.498249 0.498204 0.498295 0.498215
150 0.498334 0.498288 0.498381 0.498306
152 0.498429 0.498381 0.498476 0.498394
154 0.49851 0.498462 0.498559 0.498479
156 0.498602 0.498552 0.498652 0.498563
158 0.498681 0.49863 0.498732 0.498644
160 0.498771 0.498718 0.498824 0.498723
162 0.498843 0.498789 0.498896 0.498801
164 0.498927 0.498872 0.498983 0.498876
166 0.499002 0.498945 0.499058 0.49895
168 0.499074 0.499017 0.499131 0.499022
170 0.499151 0.499093 0.499209 0.499092
172 0.499217 0.499158 0.499276 0.49916
174 0.499284 0.499225 0.499344 0.499227
176 0.499354 0.499294 0.499415 0.499293
178 0.499414 0.499353 0.499475 0.499357
180 0.499479 0.499417 0.499541 0.499419
182 0.499535 0.499472 0.499597 0.49948
184 0.499593 0.499529 0.499656 0.49954
186 0.499646 0.499582 0.499711 0.499599
188 0.499707 0.499642 0.499773 0.499656
190 0.499766 0.4997 0.499832 0.499712
192 0.499822 0.499755 0.499889 0.499767
194 0.499875 0.499807 0.499943 0.49982
196 0.499924 0.499856 0.499992 0.499873
